,ParkName,ParkType,Region,State,Year,Month,RecreationVisits,RecreationHours,TentCampers,RVCampers,Backcountry,RecreationVisitsTotal,RecreationHoursTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal
28462,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2019,12,35,1610,0,0,0,74518,3427825,0,0,0
28846,Yellowstone NP,National Park,Intermountain ,WY,2010,12,17388,260317,93,77,71,3640185,75033809,87580,69825,45045
28858,Yellowstone NP,National Park,Intermountain ,WY,2011,12,16514,303742,54,58,76,3394326,71475307,79585,60168,37292
28870,Yellowstone NP,National Park,Intermountain ,WY,2012,12,18472,299743,122,109,83,3447729,73778317,89249,64463,40460
28882,Yellowstone NP,National Park,Intermountain ,WY,2013,12,17378,272054,54,64,52,3188030,70261725,88762,63897,40623
28894,Yellowstone NP,National Park,Intermountain ,WY,2014,12,18340,356848,93,157,79,3513484,73680075,86281,77383,41243
28906,Yellowstone NP,National Park,Intermountain ,WY,2015,12,20470,373622,70,83,46,4097710,82016845,104149,69830,44898
28918,Yellowstone NP,National Park,Intermountain ,WY,2016,12,19685,315352,42,118,143,4257177,84411927,101639,68991,44663
28930,Yellowstone NP,National Park,Intermountain ,WY,2017,12,21294,367852,125,131,50,4116524,84149763,96293,69723,43378
28942,Yellowstone NP,National Park,Intermountain ,WY,2018,12,22380,276390,134,176,16,4115000,84567084,88562,74771,41978
28954,Yellowstone NP,National Park,Intermountain ,WY,2019,12,25506,400924,144,195,53,4020288,80349419,81022,80294,38236
29338,Yosemite NP,National Park,Pacific West ,CA,2010,12,98893,857431,928,1456,0,3901408,67692499,526026,265920,125136
29350,Yosemite NP,National Park,Pacific West ,CA,2011,12,127621,1813179,1099,2872,283,3951393,65414044,505390,226304,103420
29362,Yosemite NP,National Park,Pacific West ,CA,2012,12,125314,1532845,1917,1344,304,3853404,67760801,537451,260136,168783
29374,Yosemite NP,National Park,Pacific West ,CA,2013,12,131479,1906389,2374,2072,373,3691191,64042982,459565,241656,172353
29386,Yosemite NP,National Park,Pacific West ,CA,2014,12,134491,2109021,3772,3692,547,3882642,67576000,480094,166744,190339
29398,Yosemite NP,National Park,Pacific West ,CA,2015,12,140241,2466661,2875,2204,0,4150217,78505877,588701,284372,211966
29410,Yosemite NP,National Park,Pacific West ,CA,2016,12,160646,1975116,3341,2096,0,5028868,77763403,490431,376744,216989
29422,Yosemite NP,National Park,Pacific West ,CA,2017,12,127276,2038620,6783,6284,467,4336890,71264549,456476,293844,167507
29434,Yosemite NP,National Park,Pacific West ,CA,2018,12,311179,2719210,4369,5036,833,4009436,59529503,354819,259748,124577
29446,Yosemite NP,National Park,Pacific West ,CA,2019,12,149188,1967075,4018,3932,88,4422861,65508566,469585,211948,155578
29830,Zion NP,National Park,Intermountain ,UT,2010,12,69701,420659,334,435,67,2665972,18586475,98189,72805,36544
29842,Zion NP,National Park,Intermountain ,UT,2011,12,76687,475290,626,541,180,2825505,19520895,102922,72333,40344
29854,Zion NP,National Park,Intermountain ,UT,2012,12,70981,464761,787,938,208,2973607,21048026,111096,78864,48932
29866,Zion NP,National Park,Intermountain ,UT,2013,12,75903,470259,667,621,137,2807387,20643685,112429,76253,54336
29878,Zion NP,National Park,Intermountain ,UT,2014,12,101986,716264,1562,1226,161,3189696,22366160,126194,77932,23257
29890,Zion NP,National Park,Intermountain ,UT,2015,12,97503,646629,1500,1343,149,3648846,25028289,133528,73783,24655
29902,Zion NP,National Park,Intermountain ,UT,2016,12,124438,815321,1633,1099,760,4295127,28963497,137442,70728,28248
29914,Zion NP,National Park,Intermountain ,UT,2017,12,138866,914219,2560,1585,359,4504812,30274711,138245,72425,25470
29926,Zion NP,National Park,Intermountain ,UT,2018,12,147794,955517,1780,1329,146,4320033,29913878,132988,72016,22964
29938,Zion NP,National Park,Intermountain ,UT,2019,12,171706,1058308,1895,1493,166,4488268,28715546,118290,78704,18320
